"exportador";"cnpj_do_exportador";"porte_do_exportador";"descricao_da_operacao";"uf";"pais_destino_das_exportacoes";"numero_da_operacao";"data_da_contratacao";"moeda_sigla";"fonte_de_recursos_desembolsos";"custo_financeiro";"setor_subsetor_de_atividade";"area_operacional";"modalidade_de_apoio";"forma_de_apoio";"produto";"modalidade_operacional";"mutuario";"categoria";"situacao_da_operacao";"tipo_de_garantia"
"EMBRAER S.A.";"07.689.002/0001-89";"GRANDE";"Exportação de bens";"SP";"ARGENTINA";"2068407";"2010-05-13";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEICULOS AUTOMOTORES";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Buyer";"Ente público";"Bens de capital e demais operações";"LIQUIDADA";"Seguro de crédito/FGE"
"ROMI S.A.";"56.720.428/0001-63";"GRANDE";"Exportação de bens";"SP";"ARGENTINA";"2312941";"2010-06-11";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"ROMI S.A.";"56.720.428/0001-63";"GRANDE";"Exportação de bens";"SP";"ARGENTINA";"2312941";"2010-06-14";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"SCANIA LATIN AMERICA LTDA";"59.104.901/0001-76";"GRANDE";"Exportação de bens";"SP";"PERU";"2264791";"2010-06-14";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE VEICULOS AUTOMOTORES, REBOQUES E CARROCERIAS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Seguro de crédito/FGE / Pessoal"
"CNH INDUSTRIAL BRASIL LTDA.";"01.844.555/0001-82";"GRANDE";"Exportação de bens";"MG";"ARGENTINA";"1943368";"2010-06-17";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEICULOS AUTOMOTORES";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"SCANIA LATIN AMERICA LTDA";"59.104.901/0001-76";"GRANDE";"Exportação de bens";"SP";"PERU";"2264791";"2010-06-17";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE VEICULOS AUTOMOTORES, REBOQUES E CARROCERIAS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Seguro de crédito/FGE / Pessoal"
"EMBRAER S.A.";"07.689.002/0001-89";"GRANDE";"Exportação de bens";"SP";"ESPANHA";"2492377";"2010-06-23";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEICULOS AUTOMOTORES";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Buyer";"Ente privado";"Bens de capital e demais operações";"ATIVA";"Seguro de crédito/FGE / Real / Pessoal"
"EMBRAER S.A.";"07.689.002/0001-89";"GRANDE";"Exportação de bens";"SP";"ESTADOS UNIDOS";"2515440";"2010-06-24";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEICULOS AUTOMOTORES";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Buyer";"Ente privado";"Bens de capital e demais operações";"ATIVA";"Seguro de crédito/FGE / Real"
"CNH INDUSTRIAL BRASIL LTDA.";"01.844.555/0001-82";"GRANDE";"Exportação de bens";"MG";"ARGENTINA";"1943368";"2010-06-28";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEICULOS AUTOMOTORES";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"ROMI S.A.";"56.720.428/0001-63";"GRANDE";"Exportação de bens";"SP";"ARGENTINA";"2312941";"2010-07-15";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"CNH INDUSTRIAL BRASIL LTDA.";"01.844.555/0001-82";"GRANDE";"Exportação de bens";"MG";"ARGENTINA";"1943368";"2010-07-23";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEICULOS AUTOMOTORES";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"ROMI S.A.";"56.720.428/0001-63";"GRANDE";"Exportação de bens";"SP";"ARGENTINA";"2312941";"2010-07-26";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"CNH INDUSTRIAL BRASIL LTDA.";"01.844.555/0001-82";"GRANDE";"Exportação de bens";"MG";"ARGENTINA";"1943368";"2010-07-27";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEICULOS AUTOMOTORES";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"CNH INDUSTRIAL BRASIL LTDA.";"01.844.555/0001-82";"GRANDE";"Exportação de bens";"MG";"ARGENTINA";"2425371";"2010-08-23";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"CNH INDUSTRIAL BRASIL LTDA.";"01.844.555/0001-82";"GRANDE";"Exportação de bens";"MG";"ARGENTINA";"2425371";"2010-08-25";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"ROMI S.A.";"56.720.428/0001-63";"GRANDE";"Exportação de bens";"SP";"ARGENTINA";"2312941";"2010-08-27";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"CNH INDUSTRIAL BRASIL LTDA.";"01.844.555/0001-82";"GRANDE";"Exportação de bens";"MG";"ARGENTINA";"2425371";"2010-08-30";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"ARMCO STACO S. A. INDUSTRIA METALURGICA EM RECUPERACAO";"72.343.882/0001-07";"GRANDE";"Exportação de bens";"RJ";"CUBA";"2457049";"2010-09-08";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE PRODUTOS DE METAL, EXCETO MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens de capital e demais operações";"ATIVA";"Seguro de crédito/FGE"
"ARMCO STACO S. A. INDUSTRIA METALURGICA EM RECUPERACAO";"72.343.882/0001-07";"GRANDE";"Exportação de bens";"RJ";"CUBA";"2457049";"2010-09-08";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE PRODUTOS DE METAL, EXCETO MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens de capital e demais operações";"LIQUIDADA";"Seguro de crédito/FGE"
"ARMCO STACO S. A. INDUSTRIA METALURGICA EM RECUPERACAO";"72.343.882/0001-07";"GRANDE";"Exportação de bens";"RJ";"CUBA";"2457063";"2010-09-08";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE PRODUTOS DE METAL, EXCETO MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens de capital e demais operações";"ATIVA";"Seguro de crédito/FGE"
"ARMCO STACO S. A. INDUSTRIA METALURGICA EM RECUPERACAO";"72.343.882/0001-07";"GRANDE";"Exportação de bens";"RJ";"CUBA";"2457063";"2010-09-08";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE PRODUTOS DE METAL, EXCETO MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens de capital e demais operações";"LIQUIDADA";"Seguro de crédito/FGE"
"CNH INDUSTRIAL BRASIL LTDA.";"01.844.555/0001-82";"GRANDE";"Exportação de bens";"MG";"ARGENTINA";"1943368";"2010-09-16";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEICULOS AUTOMOTORES";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"ROMI S.A.";"56.720.428/0001-63";"GRANDE";"Exportação de bens";"SP";"ARGENTINA";"2312941";"2010-09-16";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"ROMI S.A.";"56.720.428/0001-63";"GRANDE";"Exportação de bens";"SP";"ARGENTINA";"2312941";"2010-09-20";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"CNH INDUSTRIAL BRASIL LTDA.";"01.844.555/0001-82";"GRANDE";"Exportação de bens";"MG";"ARGENTINA";"2425371";"2010-09-29";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"CNH INDUSTRIAL BRASIL LTDA.";"01.844.555/0001-82";"GRANDE";"Exportação de bens";"MG";"ARGENTINA";"1943368";"2010-10-08";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEICULOS AUTOMOTORES";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"CNH INDUSTRIAL BRASIL LTDA.";"01.844.555/0001-82";"GRANDE";"Exportação de bens";"MG";"ARGENTINA";"2425371";"2010-10-14";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"CNH INDUSTRIAL BRASIL LTDA.";"01.844.555/0001-82";"GRANDE";"Exportação de bens";"MG";"ARGENTINA";"1943368";"2010-10-28";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEICULOS AUTOMOTORES";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"GSI BRASIL INDUSTRIA E COMERCIO DE EQUIPAMENTOS AGROPEC";"01.770.039/0001-50";"GRANDE";"Exportação de bens";"RS";"ARGENTINA";"2229019";"2010-10-28";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"ROMI S.A.";"56.720.428/0001-63";"GRANDE";"Exportação de bens";"SP";"ARGENTINA";"2312941";"2010-10-28";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"CAMPAK BRASIL EIRELI";"03.804.783/0001-54";"MICRO";"Exportação de bens";"SP";"CUBA";"1989584";"2010-11-04";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens de capital e demais operações";"LIQUIDADA";"Seguro de crédito/FGE"
"CNH INDUSTRIAL BRASIL LTDA.";"01.844.555/0001-82";"GRANDE";"Exportação de bens";"MG";"ARGENTINA";"1943368";"2010-11-22";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEICULOS AUTOMOTORES";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"ROMI S.A.";"56.720.428/0001-63";"GRANDE";"Exportação de bens";"SP";"ARGENTINA";"2312941";"2010-11-22";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"CNH INDUSTRIAL BRASIL LTDA.";"01.844.555/0001-82";"GRANDE";"Exportação de bens";"MG";"ARGENTINA";"2819759";"2010-11-26";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE VEICULOS AUTOMOTORES, REBOQUES E CARROCERIAS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"ROMI S.A.";"56.720.428/0001-63";"GRANDE";"Exportação de bens";"SP";"ARGENTINA";"2312941";"2010-11-26";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"CNH INDUSTRIAL BRASIL LTDA.";"01.844.555/0001-82";"GRANDE";"Exportação de bens";"MG";"ARGENTINA";"2425371";"2010-12-09";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"THYSSENKRUPP ELEVADORES SA";"90.347.840/0001-18";"GRANDE";"Exportação de bens";"RS";"CUBA";"1985654";"2010-12-14";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens de capital e demais operações";"ATIVA";"Seguro de crédito/FGE"
"THYSSENKRUPP ELEVADORES SA";"90.347.840/0001-18";"GRANDE";"Exportação de bens";"RS";"CUBA";"1985654";"2010-12-14";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens de capital e demais operações";"LIQUIDADA";"Seguro de crédito/FGE"
"CNH INDUSTRIAL BRASIL LTDA.";"01.844.555/0001-82";"GRANDE";"Exportação de bens";"MG";"ARGENTINA";"2819759";"2010-12-16";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE VEICULOS AUTOMOTORES, REBOQUES E CARROCERIAS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"CNH INDUSTRIAL BRASIL LTDA.";"01.844.555/0001-82";"GRANDE";"Exportação de bens";"MG";"ARGENTINA";"2819759";"2011-01-11";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE VEICULOS AUTOMOTORES, REBOQUES E CARROCERIAS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"A CARNEVALLI CIA LTDA";"61.372.058/0001-50";"MÉDIA";"Exportação de bens";"SP";"PERU";"2441845";"2011-01-17";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Seguro de crédito/FGE / Pessoal"
"A CARNEVALLI CIA LTDA";"61.372.058/0001-50";"MÉDIA";"Exportação de bens";"SP";"PERU";"2441848";"2011-01-17";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Seguro de crédito/FGE / Pessoal"
"ROMI S.A.";"56.720.428/0001-63";"GRANDE";"Exportação de bens";"SP";"ARGENTINA";"2312941";"2011-01-18";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"CNH INDUSTRIAL BRASIL LTDA.";"01.844.555/0001-82";"GRANDE";"Exportação de bens";"MG";"ARGENTINA";"2819759";"2011-01-21";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE VEICULOS AUTOMOTORES, REBOQUES E CARROCERIAS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"CNH INDUSTRIAL BRASIL LTDA.";"01.844.555/0001-82";"GRANDE";"Exportação de bens";"MG";"ARGENTINA";"1943368";"2011-01-26";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEICULOS AUTOMOTORES";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"EMBRAER S.A.";"07.689.002/0001-89";"GRANDE";"Exportação de bens";"SP";"MEXICO";"2760788";"2011-02-18";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEICULOS AUTOMOTORES";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Buyer";"Ente privado";"Bens de capital e demais operações";"ATIVA";"Seguro de crédito/FGE / Real"
"A CARNEVALLI CIA LTDA";"61.372.058/0001-50";"MÉDIA";"Exportação de bens";"SP";"PERU";"2441846";"2011-02-21";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Seguro de crédito/FGE / Pessoal"
"ROMI S.A.";"56.720.428/0001-63";"GRANDE";"Exportação de bens";"SP";"ARGENTINA";"2312941";"2011-02-22";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"ROMI S.A.";"56.720.428/0001-63";"GRANDE";"Exportação de bens";"SP";"ARGENTINA";"2312941";"2011-02-23";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"ROMI S.A.";"56.720.428/0001-63";"GRANDE";"Exportação de bens";"SP";"ARGENTINA";"2312941";"2011-02-25";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente privado";"Bens de capital e demais operações";"LIQUIDADA";"Pessoal"
"HIMAPEL MAQUINAS INDUSTRIAIS LTDA.";"96.737.002/0001-37";"GRANDE";"Exportação de bens";"RS";"CUBA";"2488697";"2011-03-14";"US$ COMPRA";"FAT CAMBIAL";"Taxa de juros em moeda estrangeira";"INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS";"AREA DE INDUSTRIA E SERVICOS";"Reembolsável";"Direta";"BNDES EXIM PÓS-EMBARQUE";"Supplier";"Ente público";"Bens de capital e demais operações";"ATIVA";"Seguro de crédito/FGE"
